fichier;source_site;source_url_present;original_title_present;collection_date_present;matching_method
LLM_Tagged_Database\Cnav_database\01_CARTE_INTERACTIVE_TROUVER_MON_ACTIVITE.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\02_Partenariat_VIV_A_LAB.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\03_CARSAT_HAUTS-DE-FRANCE.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\04_L_INTERGENERATIONNEL_BERCEAU_DU_LIEN_SOCIAL.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\05_BIEN_CHEZ_SOI_DES_EQUIPEMENTS_POUR_SIMPLIFIER_S.json;CNAV;True;True;False;préfixe
LLM_Tagged_Database\Cnav_database\06_CARSAT_RHONE-ALPES.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\07_ADAPTATION_DES_LOGEMENTS_DU_PARC_SOCIAL_DHABITA.json;CNAV;True;True;False;préfixe
LLM_Tagged_Database\Cnav_database\08_PARTENARIAL_DES_DOSSIERS_LIEUX_DE_VIE_COLLECTIF.json;CNAV;True;True;False;préfixe
LLM_Tagged_Database\Cnav_database\09_CARSAT_HAUTS-DE-FRANCE.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\10_Habitat_SILVER_HABITAT.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\11_LE_PROGRAMME_ACTIV_ET_VOUS.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\12_INFORMATIONS_ET_CONSEILS_EN_PREVENTION.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\13_LE_SITE_INTERNET_ICOPE.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\14_CARSAT_SUD-EST.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\15_GYM_ENFORM_ET_FITNESS.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\16_EXPERIMENTATION_AUPRES_DUN_PUBLIC_DE_FUTUR_RETR.json;CNAV;True;True;False;préfixe
LLM_Tagged_Database\Cnav_database\17_PARTENARIAT_CENTRES_DE_MEDECINE_PREVENTIVE.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\18_ATELIER_HABITAT_LES_CLEFS_DE_MA_SANTE.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\19_ATELIER_MNEMOTRICITE.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\20_DE_CO-FINANCEMENT_A_VEC_LA_CFPPA_DE_MEURTHE-ET-.json;CNAV;True;True;False;préfixe
LLM_Tagged_Database\Cnav_database\21_ESCAPE_GAME_SOMMEIL.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\22_GRAN_MOUN_DJOK_LE_RAID_DES_SENIORS.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\23_CARSAT_PAYS_DE_LA_LOIRE_JE_CONTINUE_A_JARDINER.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\24_CARSAT_ALSACE-MOSELLE_MAMIES_GATEAUX.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\25_MIEUX_VIVRE_AU_QUOTIDIEN_A_VEC_LES_MEDICAMENTS.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\26_DU_REPERAGE_DU_RISQUE_DE_CHUTE_A_UN_ATELIER_EQU.json;CNAV;True;True;False;préfixe
LLM_Tagged_Database\Cnav_database\27_CARSAT_BOURGOGNE-FRANCHE-COMTE.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\28_PARCOURS_PREVENTION_DES_CHUTES.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\29_CARSAT_CENTRE-VAL_DE_LOIRE.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\30_Aller_vers_DIGITAL_SENIORS_28.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\31_SENIORS_A_VEC_LE_BAILLEUR_SOCIAL_HERAULT_LOGEME.json;CNAV;True;True;False;préfixe
LLM_Tagged_Database\Cnav_database\32_Accompagner_les_plus_fragiles_et_precaires_dans.json;CNAV;True;True;False;préfixe
LLM_Tagged_Database\Cnav_database\33_Aide_aux_aidants_TUTONOMIE.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\34_ATELIER_BIENVENUE_A_LA_RETRAITE_ADAPTE_AU_PUBLI.json;CNAV;True;True;False;préfixe
LLM_Tagged_Database\Cnav_database\35_Aller_vers_ALLER_VERS.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\36_UN_PARCOURS_DE_PREVENTION_ADAPTE_AU_PUBLIC_ISOL.json;CNAV;True;True;False;préfixe
LLM_Tagged_Database\Cnav_database\37_SEMAINE_NATIONALE_DE_LUTTE_CONTRE_LA_DENUTRITIO.json;CNAV;True;True;False;préfixe
LLM_Tagged_Database\Cnav_database\38_EN_ACCOMPAGNANT_NOS_PARTENAIRES_DE_L_ACTION_SOC.json;CNAV;True;True;False;préfixe
LLM_Tagged_Database\Cnav_database\39_CINE-DEBAT_A_V_ANT_JETAIS_VIEUX.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\40_SPECTACLE_VIVRE_SA_RETRAITE_A_VEC_HUMOUR.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\41_SPECTACLE_PLUS_JAMAIS_SEULE.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\Cnav_database\42_Zoom_sur_les_spectacles_CARSAT_AQUITAINE.json;CNAV;True;True;False;exacte
LLM_Tagged_Database\FdF_database\50 ans d'engagement auprès des personnes âgées.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Alzheimer habiter ensemble et autrement avec la Maison des cultures.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Atout Age redonner confiance aux personnes âgées.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Colloque Vivre ses choix, prendre des risques jusqu'à la fin de sa vie.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Colloque à Lyon - Réconcilier le besoin de sécurité et le besoin de liberté.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Debout les Aînés une enquête pour améliorer la qualité de vie des séniors.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Du répit pour les aidants pour renforcer la relation avec les aidés.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Développer la démarche palliative dans les lieux de vie des personnes âgées - Fondation Henri Baboin-Jaubert ~ Génératio.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Ehpad aider les soignants à prendre soin d'eux.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Ehpad Notre Dame de la Roselière un lieu ouvert sur les autres et la nature.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\En région Nord, aux côtés des personnes âgées.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Gurekin l'habitat partagé pour rompre l'isolement des seniors.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Hacoopa des maisons partagées pour bien vivre le grand âge.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\L'intergénérationnel ou l'art du gagnant-gagnant.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\L'été, période de vulnérabilité pour les personnes âgées.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\La Fondation de France aux côtés des plus fragiles.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\La lutte contre la maladie d'Alzheimer un défi social.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\La Maison des aidants une plateforme pour prévenir l'isolement et l'épuisement des aidants familiaux.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\La Semaine Bleue - 365 jours pour agir, 7 jours pour le dire !.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Les actions soutenues par le programme Personnes âgées pendant la crise Covid-19.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Les enjeux du Grand âge , vus par deux bénévoles à la Fondation de France Sud-Ouest.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Lever les freins à la mobilité pour lutter contre la solitude.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Lien social, le terreau de notre engagement.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Logement et précarité les jeunes en première ligne !.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Maladie d'Alzheimer un défi global.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Maladie d'Alzheimer une maison où vieillir ensemble.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Personnes âgées adolescents la force des récits partagés.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Personnes âgées et troubles cognitifs des initiatives inspirantes.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Personnes âgées, personnes isolées maintenir le lien social malgré le confinement.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Personnes âgées.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Personnes âgées_1.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Personnes âgées_2.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Personnes âgées_3.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Portes closes un documentaire pour penser l'accompagnement des personnes âgées désorientées.json;Fondation de France;True;True;False;exacte
