document_id;exact_match;field;gold_value;nature_input_characters;raw_rule_based_echelle;raw_rule_based_public_vise;rule_based_prediction
D001;True;public_vise;ainés et autres;;;"LA FINALITÉ Création d'une offre complète de services ajustés favorisant le maintien de la pratique de jardinage aux seniors jardiniers afin de: • maintenir une activité physique chez les seniors ayant un jardin; • sensibiliser les seniors aux bonnes pratiques et aux aides techniques pour se préserver en jardinant, en s’appuyant sur l’expertise de professionnels; • informer les seniors sur les aménagements possibles au jardin pour le rendre sécurisant et faciliter son usage; • créer des espaces d'échanges et de rencontres entre les seniors.";ainés et autres
D001;False;echelle;communale;;;;
D001;True;nature_initiative;formation;1929;;;formation
D002;False;public_vise;ainés et autres;;;Des retours des professionnels et des résidents des résidences sociales sont très positifs: l’atelier permet notamment de dédramatiser les difficultés mémoire perçues, permet de rassurer et de sensibiliser aux bienfaits de l’activité physique.;professionnels
D002;False;echelle;communale;;;;
D002;True;nature_initiative;atelier;2500;;;atelier
D003;False;public_vise;public non connu;;;"Publics participants: • futurs retraités: à partir de 2 ans avant le départ à la retraite, identifiés comme fragiles; • retraités: jusqu’à 2 ans après le départ à la retraite, isolés socialement et/ou géographiquement collectives.";ainés
D003;False;echelle;nationale;;communale | intercommunale | régionale | nationale;;communale | intercommunale | régionale | nationale
D003;False;nature_initiative;formation;2500;;;atelier
D004;True;public_vise;autre;;;Titre: Aide aux aidants TUTO'NOMIE Pages: 67  Aide aux aidants TUTO'NOMIE LES ACTEURS Porteur(s) de la pépite: Humagogie.;autre
D004;False;echelle;nationale;;;;
D004;False;nature_initiative;formation;2500;;;atelier
D005;False;public_vise;ainés et autres;;;LA FINALITÉ L ’étude Alapage vise à co-construire une offre de prévention harmonisée et à mesurer l’impact d’une telle intervention collective sur les comportements alimentaires et d’activité physique des seniors.;ainés
D005;False;echelle;intercommunale;;communale | régionale;;communale | régionale
D005;False;nature_initiative;enquête;2500;;;atelier
D006;False;public_vise;ainés;;;Titre: GYM ENFORM' ET FITNESS Pages: 36  CGSS GUADELOUPE GYM ENFORM' ET FITNESS LES ACTEURS Porteur(s) de la pépite: CGSS de Guadeloupe « Direction de l’accompagnement et de la prévention ».;public non connu
D006;False;echelle;communale;;;;
D006;True;nature_initiative;atelier;1748;;;atelier
D007;False;public_vise;professionnels;;;LA FINALITÉ • Inspirer les porteurs de projets par de nouveaux concepts d’habitat senior. • Enrichir et diversifier l’offre de l’habitat pour les seniors.;ainés et autres
D007;False;echelle;nationale;;quartier | communale;;quartier | communale
D007;True;nature_initiative;rapport;1869;;;rapport
D008;False;public_vise;ainés et autres;;;Les parcours sont ou seront implantés sur ces 3 communes mais sont accessibles aux seniors « de passage » et résidents des communes environnantes.;ainés
D008;False;echelle;communale;;quartier | communale;;quartier | communale
D008;True;nature_initiative;atelier;2500;;;atelier
D009;False;public_vise;ainés et autres;;;"LA DESCRIPTION DE LA PÉPITE • 13 h 30: accueil du public / émargement; • 14 h 00: discours d’introduction et présentation de CAP LPC; • 14 h 15 – 15 h 45: conférence « Prévention des chutes ».";public non connu
D009;True;echelle;départementale;;départementale;;départementale
D009;True;nature_initiative;atelier;2500;;;atelier
D010;True;public_vise;ainés et autres;;;Professionnels: équipe dédiée coordonnée par le Référent Senior.;ainés et autres
D010;False;echelle;communale | départementale;;;;
D010;True;nature_initiative;accompagnement;2060;;;accompagnement
D011;False;public_vise;professionnels;;;D E S C R I P T O N Humaines: Un coordinateur de réseau Matérielles: Des locaux Information et communication: Travail de publicisation du dispositif et de la liste des acteurs à consulter (ARS, CARSAT, CD57, Mairie, Police) Financières: ARS, CARSAT, CD57, Mairie U;ainés
D011;True;echelle;communale;;communale;;communale
D011;True;nature_initiative;formation;1238;;;formation
D012;True;public_vise;ainés et autres;;;Sur toute la commune et à mettre en place rapidement suite au diagnostic DESCRIPTION Humaines: Municipalité (CCAS) Famille, retraités, associations Matérielles: Etablir, distribuer et collecter les résultats du questionnaire Information et communication: Réunion publique d’information avec les personnes concernées - Journaux locaux et internet Financières: Aides financières pour mettre en place le diagnostic des logements Recherche de fonds pour la mise en œuvre (Ex: Département) Marché groupé peut être imaginer pour plusieurs communes afin de réaliser des économies substantielles RESSOURCES HABITAT;ainés et autres
D012;False;echelle;quartier | intercommunale;;communale | départementale;;communale | départementale
D012;False;nature_initiative;enquête;1642;;;formation
D013;False;public_vise;public non connu;;;Pour qui?Usagers des transports en commun Où et quand?Commune d’Arlon, période scolaire et hors scolaire, ainsi que le samediDESCRIPTIONQuoi?Constat: l’offre des transports ne correspond pas à la demande et aux besoins des habitantes et habitants de la commune d’Arlon.;autre
D013;True;echelle;communale;;communale;;communale
D013;False;nature_initiative;enquête;2500;;;
D014;True;public_vise;public non connu;;;Arlon 2025 MobilitésMobilitésFICHE-ACTION N°2 Mobilités Quoi?Constat: le Taxi social LocoMobile existe dans la province du Luxembourg mais est absent dans la commune d’Arlon.;public non connu
D014;True;echelle;communale;;communale;;communale
D014;False;nature_initiative;sensibilisation;2500;;;formation
D015;False;public_vise;ainés et autres;;;C’est pourquoi il a été proposé de permettre aux personnes âgées de se restaurer dans des écoles avec les élèves en maternel le, au primaire, au lycée et à l’université.;public non connu
D015;False;echelle;quartier | régionale;;communale | départementale | régionale;;communale | départementale | régionale
D015;False;nature_initiative;sensibilisation;1640;;;formation
D016;False;public_vise;ainés et autres;;;Les personnes âgées peuvent se retrouver isolées, en particulier si elles vivent seules ou loin de leur famille.;autre
D016;False;echelle;communale | régionale;;quartier | communale | intercommunale | départementale;;quartier | communale | intercommunale | départementale
D016;False;nature_initiative;événement;2500;;;atelier
D017;False;public_vise;autre;;;---  --- MODÈLE DE FICHE-ACTION FICHE-ACTION N°4 Création d’un réseau d’entraide Objectifs • Proposer des solutions aux seniors basées sur un réseau d’entraide à différents niveaux Indicateurs de réussite • Nombre de participants constituant le réseau • Nombre d’actions bénévoles Quoi?;ainés
D017;False;echelle;régionale | nationale;;communale | intercommunale;;communale | intercommunale
D017;True;nature_initiative;formation;1133;;;formation
D018;True;public_vise;ainés et autres;;;Aussi, nous proposons que soit mis en place: * Un n° vert « info seniors », accessible tout le temps * Une adresse mail / un site internet (Cette fiche-action est inspirée de dispositifs mis en place à Seltz et à Toulouse) Pour qui? - Les personnes isolées - Les aînés en situation de handicap / de dépendance ou non - Leurs aidants: conjoints, enfants, autres proches...;ainés et autres
D018;False;echelle;quartier | régionale;;communale;;communale
D018;True;nature_initiative;formation;2371;;;formation
D019;True;public_vise;ainés et autres;;;Metz de manière hebdomadaire en présentiel ou distanciel D E S C R I P T O N Humaines: • Coordination par le service de l’action culturelle • Mobilisation des associations et services publics Matérielles: Disponibilité de projets d’établissements ouverts à l’expérimentation Information et communication: Relayer des informations sur l'action par divers moyens (Publication dans les lieux publics et sur internet) Financières: Financement des professionnels (Métropole, CARSAT, CNSA, etc.) U Isolement;ainés et autres
D019;False;echelle;intercommunale | départementale;;communale | intercommunale;;communale | intercommunale
D019;True;nature_initiative;formation;1382;;;formation
D020;False;public_vise;autre;;;Constats: - Les voitures mal garées peuvent empêcher les piétons, les personnes âgées ou en fauteuil, les personnes avec des poussettes, de se déplacer à pied au centre et sur les trottoirs d’Ostricourt.;public non connu
D020;False;echelle;quartier | communale | intercommunale | départementale | régionale | nationale;;communale;;communale
D020;True;nature_initiative;sensibilisation;2500;;;sensibilisation
D021;True;public_vise;ainés et autres;;;Nos missions Notre réseau Agir avec nous Nos temps forts FR FR EN FR EN ► Un Toit parmi les âges: des jeunes hébergés en Ehpad La Fondation de France aux côtés des plus fragiles Les enjeux du « Grand âge », vus par deux bénévoles à la Fondation de France Sud-Ouest Vivre et vieillir parmi les autres Se déplacer pour garder le lien Maladie d'Alzheimer: une maison où vieillir ensemble Regards croisés sur la question de l'isolement Personnes âgées / adolescents: la force des récits partagés Ehpad: aider les soignants à prendre soin d’eux Du répit pour les aidants pour renforcer la relation avec les aidés 1 2 3 4 5 Espace presse Recrutement L'Observatoire Philanthropie & Société Annuaire des fondations abritées Guide des bourses Notre charte de bonne conduite et de modération FAQ Mentions légales Dispositif d’alerte interne Politique des données personnelles Politique des cookies Paramètres de cookies Pour réinitialiser le formulaire, veuillez fermer cette boîte.;ainés et autres
D021;True;echelle;communale;;communale;;communale
D021;True;nature_initiative;dispositif;2500;;;dispositif
D022;False;public_vise;ainés et autres;;;L’évolution majeure réside sans doute dans une prise de conscience, une plus forte sensibilisation à la situation des personnes âgées qui vieillissent à domicile et au rôle des familles vis-à-vis de leurs proches.;autre
D022;False;echelle;communale;;communale | régionale;;communale | régionale
D022;True;nature_initiative;dispositif;2500;;;dispositif
D023;False;public_vise;autre;;;Ce type d’initiative interroge sur la liberté et l’autonomie accordées aux personnes âgées, en regard de l’obligation de prendre soin d’eux et du désir de les protéger. « Liberté et autonomie: deux valeurs à concilier pour éviter l’abus de pouvoir comme l’abus de risques », affirmait Jean-Luc Noël, psychologue.;public non connu
D023;False;echelle;régionale;;communale | régionale;;communale | régionale
D023;True;nature_initiative;dispositif;2500;;;dispositif
D024;False;public_vise;ainés;;;Personnes âgées  https://www.fondationdefrance.org/fr/tag-pa?start=20  Qui sommes-nous?;public non connu
D024;False;echelle;nationale;;communale | régionale;;communale | régionale
D024;True;nature_initiative;outil numérique;2500;;;outil numérique
D025;False;public_vise;autre;;;Face à l’éloignement des services publics et au développement de l’e-administration, l’existence de zones blanches constitue un véritable empêchement pour les personnes isolées, notamment des territoires ruraux.;public non connu
D025;False;echelle;départementale;;quartier | communale | intercommunale;;quartier | communale | intercommunale
D025;False;nature_initiative;enquête;2500;;;
D026;False;public_vise;autre;;;Aujourd’hui, le projet « Lien de vie », soutenu dans le cadre du programme personnes âgées de la Fondation de France, a permis à 30 professionnels de santé et à 10 aidants volontaires de bénéficier d’une formation aux soins palliatifs.;professionnels
D026;True;echelle;communale | départementale;;communale | départementale;;communale | départementale
D026;False;nature_initiative;accompagnement;2500;;;formation
D027;False;public_vise;autre;;;Nos missions Notre réseau Agir avec nous Nos temps forts FR FR EN FR EN Accueil Personnes âgées Changer le regard porté sur les seniors et mettre en valeur leur participation à la vie sociale: ce sont les objectifs de la Semaine Bleue.;ainés
D027;False;echelle;régionale;;quartier | communale;;quartier | communale
D027;True;nature_initiative;dispositif;2500;;;dispositif
D028;False;public_vise;ainés et autres;;;A la rencontre des personnes âgées en milieu rural  https://www.fondationdefrance.org/fr/cat-fondation-de-france-region-nord/a-plus-dans-le-bus-a-la-rencontre-des-personnes-agees-en-milieu-rural  Qui sommes-nous?;public non connu
D028;False;echelle;communale;;communale | régionale;;communale | régionale
D028;True;nature_initiative;atelier;2500;;;atelier
D029;False;public_vise;autre;;;Nos missions Notre réseau Agir avec nous Nos temps forts FR FR EN FR EN Accueil Personnes âgées Réalisé par Christophe Ramage, le documentaire Portes closes donne la parole aux personnes âgées, aux familles et aux professionnels qui s’interrogent: le respect du libre arbitre serait-il incompatible avec les exigences de sécurité?;professionnels
D029;False;echelle;régionale;;communale;;communale
D029;True;nature_initiative;accompagnement;2500;;;accompagnement
D030;False;public_vise;ainés et autres;;;Du répit pour les aidants pour renforcer la relation avec les aidés  https://www.fondationdefrance.org/fr/cat-personnes-agees/maison-des-aidants-du-repit-pour-les-aidants-pour-renforcer-la-relation-avec-les-aides  Qui sommes-nous?;autre
D030;False;echelle;communale | intercommunale;;communale;;communale
D030;True;nature_initiative;atelier;2500;;;atelier
D031;True;public_vise;autre;;;Titre: La situation des familles, des enfants et des personnes âgées vulnérables dans les départements et régions d’outre-mer (Drom), rapport transversal du HCFEA Sous-titre: Partager cet article Publication: Gouvernement Rechercher Menu Haut Conseil de la famille, de l'enfance et de l'âge - HCFEA Paramètres d'affichage Fermer Rechercher Appliquer Fermer HCFEA Conseil de la famille Conseil de l'enfance Conseil de l'âge Documents transverses Actualités Archives Agenda Voir le fil d'Ariane Accueil Documents communs des trois Conseils La situation des familles, des enfants et des personnes âgées vulnérables dans les départements et régions d’outre-mer (Drom), rapport transversal du HCFEA Imprimer Courriel Linkedin Facebook Twitter Bluesky La situation des familles, des enfants et des personnes âgées vulnérables dans les départements et régions d’outre-mer (Drom), rapport transversal du HCFEA Publié le 16/03/2022 | Temps de lecture: 6 minutes Les trois Conseils Rapports La situation des familles, des enfants et des personnes âgées vulnérables dans les départements et régions d’outre-mer (Drom): réalités sociales et politiques menées, dossier transversal du Haut Conseil de la famille, de l’enfance et de l’âge (HCFEA), établit un constat sur la situation des familles, des enfants et des personnes âgées vulnérables dans les départements et régions d’outre-mer (Drom) et propose des pistes en vue d’améliorer cette situation.;autre
D031;False;echelle;départementale;;communale | intercommunale | départementale | régionale;;communale | intercommunale | départementale | régionale
D031;True;nature_initiative;rapport;2500;;;rapport
D032;True;public_vise;autre;;;Titre: Les leviers d’une meilleure efficience de la réponse aux besoins des personnes âgées et au soutien de leur autonomie Sous-titre: Extrait du rapport remis au Premier ministre le 2 juillet 2025 suite à la saisine du HCaam, du HCFEA et du HCFips Publication: Gouvernement Rechercher Menu Haut Conseil de la famille, de l'enfance et de l'âge - HCFEA Paramètres d'affichage Fermer Rechercher Appliquer Fermer HCFEA Conseil de la famille Conseil de l'enfance Conseil de l'âge Documents transverses Actualités Archives Agenda Voir le fil d'Ariane Accueil Conseil de l'âge Les leviers d’une meilleure efficience de la réponse aux besoins des personnes âgées et au soutien de leur autonomie Imprimer Courriel Linkedin Facebook Twitter Bluesky Les leviers d’une meilleure efficience de la réponse aux besoins des personnes âgées et au soutien de leur autonomie Extrait du rapport remis au Premier ministre le 2 juillet 2025 suite à la saisine du HCaam, du HCFEA et du HCFips Publié le 03/07/2025 | Temps de lecture: 3 minutes Conseil de l'âge Rapports Dans le cadre de sa contribution au rapport « Pour un redressement durable de la sécurité sociale », le Conseil de l’âge du HCFEA a notamment porté le chapitre 4 sur les politiques de l’âge au sein de la partie III.;autre
D032;False;echelle;nationale;;quartier | communale | départementale | nationale;;quartier | communale | départementale | nationale
D032;True;nature_initiative;rapport;2500;;;rapport
D033;True;public_vise;autre;;;Titre: Note d’information sur le livre blanc de France Assureurs en partenariat avec la FNMF Sous-titre: Note émise le 14 avril 2022 Publication: Gouvernement Rechercher Menu Haut Conseil de la famille, de l'enfance et de l'âge - HCFEA Paramètres d'affichage Fermer Rechercher Appliquer Fermer HCFEA Conseil de la famille Conseil de l'enfance Conseil de l'âge Documents transverses Actualités Archives Agenda Voir le fil d'Ariane Accueil Conseil de l'âge Note d’information sur le livre blanc de France Assureurs en partenariat avec la FNMF Imprimer Courriel Linkedin Facebook Twitter Bluesky Note d’information sur le livre blanc de France Assureurs en partenariat avec la FNMF Note émise le 14 avril 2022 Publié le 15/04/2022 | Temps de lecture: 1 minute Conseil de l'âge Notes Le livre blanc publié par France assureurs (FA), auquel la fédération nationale de la Mutualité française (FNMF) est associée, propose de consolider la place des organismes complémentaires d’assurance maladie (Ocam) dans le financement de l’aide à l’autonomie par la création d’un nouveau contrat de complémentaire santé responsable auquel serait adossée automatiquement une garantie socle dépendance.;autre
D033;True;echelle;nationale;;nationale;;nationale
D033;True;nature_initiative;formation;2500;;;formation
D034;False;public_vise;autre;;;Titre: Note de comparaison des coûts de prise en charge d’une personne en perte d’autonomie selon le lieu de vie (domicile ou Ehpad) Sous-titre: Adoptée par les membres le 16 novembre 2021 Publication: Gouvernement Rechercher Menu Haut Conseil de la famille, de l'enfance et de l'âge - HCFEA Paramètres d'affichage Fermer Rechercher Appliquer Fermer HCFEA Conseil de la famille Conseil de l'enfance Conseil de l'âge Documents transverses Actualités Archives Agenda Voir le fil d'Ariane Accueil Conseil de l'âge Imprimer Courriel Linkedin Facebook Twitter Bluesky Note de comparaison des coûts de prise en charge d’une personne en perte d’autonomie selon le lieu de vie (domicile ou Ehpad) Adoptée par les membres le 16 novembre 2021 Publié le 30/11/2021 | Temps de lecture: 2 minutes Conseil de l'âge Notes Pour éclairer l’impact économique d’une politique de virage domiciliaire, cette note propose une estimation du coût de prise en charge des personnes en perte d’autonomie (principalement bénéficiaires de l’APA) et de sa répartition entre dépenses publiques et reste-à-charge (RAC) pour les personnes selon leur lieu de vie, mais aussi selon la configuration de leur ménage (en couple ou non) et leur niveau de revenu, pour différents GIR et niveaux de salaire horaire des intervenants à domicile.;ainés et autres
D034;False;echelle;communale | intercommunale;;;;
D034;False;nature_initiative;publication;2500;;;rapport
D035;False;public_vise;autre;;;Titre: Note sur les revenus, les dépenses contraintes, le patrimoine des seniors et l'accessibilité financière aux Ehpad, RA, RSS Sous-titre: Adoptée par les membres à l'issue de la séance du 8 novembre 2022 Publication: Gouvernement Rechercher Menu Haut Conseil de la famille, de l'enfance et de l'âge - HCFEA Paramètres d'affichage Fermer Rechercher Appliquer Fermer HCFEA Conseil de la famille Conseil de l'enfance Conseil de l'âge Documents transverses Actualités Archives Agenda Voir le fil d'Ariane Accueil Conseil de l'âge Note sur les revenus, les dépenses contraintes, le patrimoine des seniors et l'accessibilité financière aux Ehpad, RA, RSS Imprimer Courriel Linkedin Facebook Twitter Bluesky Note sur les revenus, les dépenses contraintes, le patrimoine des seniors et l'accessibilité financière aux Ehpad, RA, RSS Adoptée par les membres à l'issue de la séance du 8 novembre 2022 Publié le 23/11/2022 | Temps de lecture: 3 minutes Conseil de l'âge Notes Les Ehpad, résidences autonomie et résidences services constituent différents segments d’une offre à destination des personnes âgées vulnérables.;ainés et autres
D035;False;echelle;régionale;;départementale | nationale;;départementale | nationale
D035;True;nature_initiative;publication;2500;;;publication
D036;False;public_vise;autre;;;Titre: Note sur les revenus, les dépenses contraintes et le patrimoine des seniors – état des lieux Sous-titre: Adoptée par les membres à l'issue de la séance du 20 mai 2022 Publication: Gouvernement Rechercher Menu Haut Conseil de la famille, de l'enfance et de l'âge - HCFEA Paramètres d'affichage Fermer Rechercher Appliquer Fermer HCFEA Conseil de la famille Conseil de l'enfance Conseil de l'âge Documents transverses Actualités Archives Agenda Voir le fil d'Ariane Accueil Conseil de l'âge Imprimer Courriel Linkedin Facebook Twitter Bluesky Note sur les revenus, les dépenses contraintes et le patrimoine des seniors – état des lieux Adoptée par les membres à l'issue de la séance du 20 mai 2022 Publié le 20/05/2022 | Temps de lecture: 2 minutes Conseil de l'âge Notes Le niveau de vie moyen des personnes âgées (hors établissement) est supérieur à celui des Français en moyenne, si on tient compte du loyer imputé, sachant que 80 % des personnes âgées de 65 ans et plus (« les seniors ») sont propriétaires et parmi eux une grande majorité n’a plus de charge de remboursement.;ainés et autres
D036;False;echelle;départementale;;nationale | internationale;;nationale | internationale
D036;True;nature_initiative;publication;2500;;;publication
D037;False;public_vise;autre;;;Le cycle de travail du Conseil de l'âge sur la lutte contre les discriminations et l'âgisme Éléments de guidance pour un lexique renouvelé de l’âge et des personnes âgées Le Conseil de l’âge a engagé, dans le prolongement de ses travaux de 2019, une réflexion visant à moderniser et affiner le… Conseil de l'âge Publié le 30 septembre 2025 La participation et la contribution économique, sociale et environnementale des… Le Conseil de l’âge a adopté un rapport sur la participation sociale et la contribution économique, sociale et environnementale… Conseil de l'âge Publié le 17 septembre 2025 Vieillissement de la population, personnes âgées: une France âgiste malgré… En période récente, lors de la crise de la Covid-19 puis de la discussion de la réforme des retraites de 2023, des tensions… Conseil de l'âge Publié le 27 septembre 2024 Partager cet article Imprimer Courriel Linkedin Facebook Twitter Bluesky Gouvernement legifrance.gouv.fr info.gouv.fr service-public.gouv.fr data.gouv.fr Plan du site Accessibilité: partiellement conforme Mentions légales Données personnelles et gestion des cookies Nous contacter Gestion des cookies Sauf mention explicite de propriété intellectuelle détenue par des tiers, les contenus de ce site sont proposés sous licence etalab-2.0.;ainés
D037;True;echelle;nationale;;nationale;;nationale
D037;False;nature_initiative;publication;2500;;;formation
D038;False;public_vise;autre;;;Sous-titre: Enseignements de l'enquête d'opinion du Conseil de l'âge du HCFEA Publication: Gouvernement Rechercher Menu Haut Conseil de la famille, de l'enfance et de l'âge - HCFEA Paramètres d'affichage Fermer Rechercher Appliquer Fermer HCFEA Conseil de la famille Conseil de l'enfance Conseil de l'âge Documents transverses Actualités Archives Agenda Voir le fil d'Ariane Accueil Conseil de l'âge Vieillissement de la population, personnes âgées: une France âgiste malgré elle?;ainés et autres
D038;False;echelle;nationale;;;;
D038;False;nature_initiative;enquête;2500;;;publication
D039;False;public_vise;ainés et autres;;;Titre: Le recours des personnes âgées vulnérables aux emplois et services d’aide à domicile Sous-titre: Rapport adopté le 20 avril 2020 Publication: Gouvernement Rechercher Menu Haut Conseil de la famille, de l'enfance et de l'âge - HCFEA Paramètres d'affichage Fermer Rechercher Appliquer Fermer HCFEA Conseil de la famille Conseil de l'enfance Conseil de l'âge Documents transverses Actualités Archives Agenda Voir le fil d'Ariane Accueil Conseil de l'âge Le recours des personnes âgées vulnérables aux emplois et services d’aide à domicile Imprimer Courriel Linkedin Facebook Twitter Bluesky Le recours des personnes âgées vulnérables aux emplois et services d’aide à domicile Rapport adopté le 20 avril 2020 Publié le 20/04/2020 | Temps de lecture: 2 minutes Conseil de l'âge Rapports Le « virage domiciliaire » maintes fois annoncé n’a pas encore eu lieu.;autre
D039;False;echelle;départementale;;nationale;;nationale
D039;True;nature_initiative;rapport;2500;;;rapport
D040;True;public_vise;autre;;;Titre: Éléments de guidance pour un lexique renouvelé de l’âge et des personnes âgées Sous-titre: Réflexions pour un vocabulaire inclusif et adapté Publication: Gouvernement Rechercher Menu Haut Conseil de la famille, de l'enfance et de l'âge - HCFEA Paramètres d'affichage Fermer Rechercher Appliquer Fermer HCFEA Conseil de la famille Conseil de l'enfance Conseil de l'âge Documents transverses Actualités Archives Agenda Voir le fil d'Ariane Accueil Conseil de l'âge Éléments de guidance pour un lexique renouvelé de l’âge et des personnes âgées Imprimer Courriel Linkedin Facebook Twitter Bluesky Éléments de guidance pour un lexique renouvelé de l’âge et des personnes âgées Réflexions pour un vocabulaire inclusif et adapté Publié le 30/09/2025 | Temps de lecture: 1 minute Conseil de l'âge Documents Le Conseil de l’âge a engagé, dans le prolongement de ses travaux de 2019, une réflexion visant à moderniser et affiner le vocabulaire relatif à l’âge et aux personnes âgées, afin de proposer un lexique de l’âge clair et respectueux.;autre
D040;False;echelle;nationale;;;;
D040;False;nature_initiative;publication;2500;;;atelier
D041;False;public_vise;autre;;;Nos objectifs secondaires sont de valider un algorithme de détection des TSA dans le Système National de Données de Santé (SNDS) et d’estimer les coûts médicaux directs liés à la prise en charge du TSA.Les bases de données du SNDS contiennent l’ensemble des soins médicaux et des traitements remboursés pour les bénéficiaires de l’Assurance Maladie dispensés en secteur privé ou public.;public non connu
D041;False;echelle;départementale;;quartier | départementale | régionale | nationale;;quartier | départementale | régionale | nationale
D041;False;nature_initiative;enquête;2500;;;formation
D042;False;public_vise;autre;;;Conséquences de la pandémie de Covid-19 sur les parcours de prise en charge sanitaire et médico-sociale de personnes en situation de handicap  Statut tri: accepted Source: IReSP URL: https://iresp.net/projets_finances/consequences-de-la-pandemie-de-covid-19-sur-les-parcours-de-prise-en-charge-sanitaire-et-medico-sociale-de-personnes-en-situation-de-handicap/ Programme concerné: Autonomie Nom de l'appel: Dispositif Doctoral du programme Autonomie Année: 2024 État du projet: Clos Durée: 12 mois Subvention allouée: 47 221,17 € Financeurs: CNSA Disciplines: Démographie, santé publique  Conséquences de la pandémie de Covid-19 sur les parcours de prise en charge sanitaire et médico-sociale de personnes en situation de handicap - IReSP L’IReSP L’institut Missions Organisation Les instances Équipe Actualités Contact Thématiques Addictions Autonomie, grand âge et handicap Services, interventions et politiques favorables à la santé Programme Antiépileptiques MESSIDORE Portail des études en santé Financements Les financements à L’IResp Programmes et appels Procédure d’évaluation Programme Addictions Programme Antiépileptiques Programme Autonomie, grand âge et handicap Programme MESSIDORE Programme Services, interventions et politiques favorables à la santé Appel à projets clos Subventions hors appels à projets Suivi des projets financés Projets financés Animation L’animation de la recherche en Santé Publique Evènements à venir Toutes nos actions Ressources des actions d’animation Ressources Lettre d’information en santé publique Revue « Questions de Santé Publique » Publications de l’IReSP Offres d’emploi en Santé Publique Accueil » Conséquences de la pandémie de Covid-19 sur les parcours de prise en charge sanitaire et médico-sociale de personnes en situation de handicap Programme concerné Autonomie Nom de l'appel Dispositif Doctoral du programme Autonomie Année 2024 Modalité de soutien 4ème année de thèse État du projet Clos Durée 12 mois Subvention allouée 47 221,17 € Financeurs CNSA Disciplines Démographie, santé publique Conséquences de la pandémie de Covid-19 sur les parcours de prise en charge sanitaire et médico-sociale de personnes en situation de handicap Résumé de soumission Contexte La thèse s’inscrit dans le cadre du projet HandiCovid mené par l’Institut de recherche et documentation en économie de la santé (Gip irdes) en collaboration avec le laboratoire Sage de l’Université de Strasbourg et des médecins.;ainés
D042;False;echelle;départementale;;communale | départementale | nationale | internationale;;communale | départementale | nationale | internationale
D042;False;nature_initiative;enquête;2500;;;formation
D043;False;public_vise;autre;;;Elles souhaitent développer une communauté mixte de recherche sur les déficiences visuelles afin de créer des conditions de rencontre ouvertes à l’ensemble des acteurs du champ, chercheurs (y compris jeunes) et parties prenantes (les personnes concernées, leurs proches, les associations, les institutions, les professionnels, les collectivités et les entreprises).;professionnels
D043;False;echelle;régionale;;quartier | communale;;quartier | communale
D043;False;nature_initiative;enquête;2500;;;formation
