status;title;url;path;word_count;score_raw;score_normalized;threshold
rejected;Animation de la transformation de l’offre handicap;https://www.cnsa.fr/appels-projets/animation-de-la-transformation-de-loffre-handicap;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\cnsa_rejected\animation_de_la_transformation_de_l_offre_handicap.txt;377;0;0.00000000;0.01477573
rejected;Constitution de parcs d’aides techniques pour la communication alternative et améliorée;https://www.cnsa.fr/appels-projets/constitution-de-parcs-daides-techniques-pour-la-communication-alternative-et;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\cnsa_rejected\constitution_de_parcs_d_aides_techniques_pour_la_communication_alternative_et_amelioree.txt;967;1;0.00103413;0.01477573
rejected;ESMS numérique - Appel à projets national 2022;https://www.cnsa.fr/appels-projets/esms-numerique-appel-projets-national-2022;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\cnsa_rejected\esms_numerique_appel_a_projets_national_2022.txt;212;0;0.00000000;0.01477573
rejected;ESMS numérique - Appel à projets national 2023;https://www.cnsa.fr/appels-projets/esms-numerique-appel-projets-national-2023;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\cnsa_rejected\esms_numerique_appel_a_projets_national_2023.txt;212;0;0.00000000;0.01477573
rejected;Expérimenter et évaluer des dispositifs innovants de participation des personnes et des proches aidants dans la gouvernance des services à domicile;https://www.cnsa.fr/appels-projets/experimenter-et-evaluer-des-dispositifs-innovants-de-participation-des-personnes-et;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\cnsa_rejected\experimenter_et_evaluer_des_dispositifs_innovants_de_participation_des_personnes_et_des_proches_aidants_dans_la_gouverna.txt;537;3;0.00558659;0.01477573
rejected;Expérimenter pour accompagner l’évolution de l’offre médico-sociale et l’adaptation des réponses aux besoins des personnes - édition 2023;https://www.cnsa.fr/appels-projets/experimenter-pour-accompagner-levolution-de-loffre-medico-sociale-et-ladaptation-0;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\cnsa_rejected\experimenter_pour_accompagner_l_evolution_de_l_offre_medico_sociale_et_l_adaptation_des_reponses_aux_besoins_des_personn.txt;500;3;0.00600000;0.01477573
rejected;Expérimenter pour accompagner l’évolution de l’offre médico-sociale et l’adaptation des réponses aux besoins des personnes - édition 2022;https://www.cnsa.fr/appels-projets/experimenter-pour-accompagner-levolution-de-loffre-medico-sociale-et-ladaptation-1;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\cnsa_rejected\experimenter_pour_accompagner_l_evolution_de_l_offre_medico_sociale_et_l_adaptation_des_reponses_aux_besoins_des_personn_2.txt;581;4;0.00688468;0.01477573
rejected;Expérimenter pour accompagner l’évolution de l’offre médico-sociale et l’adaptation des réponses aux besoins des personnes - édition 2025;https://www.cnsa.fr/appels-projets/experimenter-pour-accompagner-levolution-de-loffre-medico-sociale-et-ladaptation-2;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\cnsa_rejected\experimenter_pour_accompagner_l_evolution_de_l_offre_medico_sociale_et_l_adaptation_des_reponses_aux_besoins_des_personn_3.txt;832;0;0.00000000;0.01477573
rejected;Expérimenter pour accompagner l’évolution de l’offre médico-sociale et l’adaptation des réponses aux besoins des personnes - édition 2024;https://www.cnsa.fr/appels-projets/experimenter-pour-accompagner-levolution-de-loffre-medico-sociale-et-ladaptation-des;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\cnsa_rejected\experimenter_pour_accompagner_l_evolution_de_l_offre_medico_sociale_et_l_adaptation_des_reponses_aux_besoins_des_personn_4.txt;854;0;0.00000000;0.01477573
accepted;La participation des personnes vivant en établissement : relever le défi de l’effectivité;https://www.cnsa.fr/appels-projets/la-participation-des-personnes-vivant-en-etablissement-relever-le-defi-de;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\cnsa_database\la_participation_des_personnes_vivant_en_etablissement_relever_le_defi_de_l_effectivite.txt;594;14;0.02356902;0.01477573
