status;title;url;programme;appel;annee;etat;duree;subvention;financeurs;disciplines;path
rejected;Robots sociaux et prise en charge de la dépendance : enjeux méthodologiques, sanitaires et sociaux;https://iresp.net/projets_finances/15205/;Services, interventions et politiques favorables à la santé;Général - volet Recherche sur les services de santé;2018;En cours;12 mois;45 100,00 €;INSERM;Sociologie / Anthropologie / Santé publique;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\001_2018_robots_sociaux_et_prise_en_charge_de_la_dependance_enjeux_methodologiques_sanitaires_et_sociaux.txt
accepted;Accepter et résister aux aides. Avoir 75 ans et plus en ville et à la campagne;https://iresp.net/projets_finances/accepter-et-resister-aux-aides-avoir-75-ans-et-plus-en-ville-et-a-la-campagne/;Autonomie;Analyse des politiques de l’autonomie, de l’offre médico-sociale et des besoins des publics;2024;En cours;18 mois;50 000,00;CNSA;Ce projet d'amorçage vise à comprendre de quelle manière les personnes de 75 ans et plus vivant à domicile et faisant face à des limitations dans la vie quotidienne restent à l'écart des aides professionnelles auxquelles elles auraient droit.;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\001_2024_accepter_et_resister_aux_aides_avoir_75_ans_et_plus_en_ville_et_a_la_campagne.txt
rejected;Accès au soin et indifférence à l’alcool : Etude sur les perceptions, les pratiques et les comportements relatifs à la prise en charge de l’alcool auprès des personnes présentant une consommation d’alcool nocive et des médecins généralistes de ville;https://iresp.net/projets_finances/acces-au-soin-et-indifference-a-lalcool-etude-sur-les-perceptions-les-pratiques-et-les-comportements-relatifs-a-la-prise-en-charge-de-lalcool-aupres-des-personnes-presentant-une-c/;Services, interventions et politiques favorables à la santé;Général - Volet Prévention;2016;Clos;36 mois;60839;MILDECA;Santé publique;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\002_2016_acces_au_soin_et_indifference_a_l_alcool_etude_sur_les_perceptions_les_pratiques_et_les_comportements_relatifs_a_la_pris.txt
accepted;Accessibilité et Droit à l’espace public des Aînés : une entrée par la Marche;https://iresp.net/projets_finances/accessibilite-et-droit-a-lespace-public-des-aines-une-entree-par-la-marche/;Autonomie;Blanc (session 12);2021;En cours;48 mois;249 566,00 €;CNSA;;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\002_2021_accessibilite_et_droit_a_l_espace_public_des_aines_une_entree_par_la_marche.txt
accepted;ACCompagnants des MAlades DIagnostiqués Alzheimer;https://iresp.net/projets_finances/accompagnants-des-malades-diagnostiques-alzheimer/;Autonomie;Blanc (session 10);2019;Clos;24 mois;135 359,00 €;CNSA;;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\003_2019_accompagnants_des_malades_diagnostiques_alzheimer.txt
accepted;Accompagnement à l’Appropriation, l’aUtoGestion et l’édUcation théRapeutique continuE concernant la prévention secondaire du Lesé Médullaire – AUGURE-LME;https://iresp.net/projets_finances/accompagnement-a-lappropriation-lautogestion-et-leducation-therapeutique-continue-concernant-la-prevention-secondaire-du-lese-medullaire-augure-lme/;Autonomie;Blanc (session 13);2022;En cours;30 mois;203 795,00 €;CNSA;1) Médecine Physique et Réadaptation 2) Recherche qualitative sur le handicap et les pratiques éducatives 3) Education thérapeutique du patient 4) Accompagnement social 5) Partenariat patient;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\004_2022_accompagnement_a_l_appropriation_l_autogestion_et_l_education_therapeutique_continue_concernant_la_prevention_secondaire.txt
rejected;Accompagnement des médecins généralistes au bon usage des antibiotiques par une intervention de feedback sur les prescriptions d’antibiotiques;https://iresp.net/projets_finances/accompagnement-des-medecins-generalistes-au-bon-usage-des-antibiotiques-par-une-intervention-de-feedback-sur-les-prescriptions-dantibiotiques/;Services, interventions et politiques favorables à la santé;Services, interventions et politiques favorables à la santé;2022;En cours;36 mois;249 908,00 €;DGS;"Santé publique ; Evaluation intervention complexe ; Médecine générale ; Infectiologie ; Sciences Humaines et Sociales";C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\003_2022_accompagnement_des_medecins_generalistes_au_bon_usage_des_antibiotiques_par_une_intervention_de_feedback_sur_les_prescri.txt
rejected;Accompagnement et soins personnalisés de la naissance en filière physiologique versus conventionnelle en France: effet sur la santé psychique des couples et la santé de la mère et de l’enfant à 2 ans;https://iresp.net/projets_finances/accompagnement-et-soins-personnalises-de-la-naissance-en-filiere-physiologique-versus-conventionnelle-en-france-effet-sur-la-sante-psychique-des-couples-et-la-sante-de-la-mere-et-de-lenfant-a-2-ans/;Services, interventions et politiques favorables à la santé;Services, interventions et politiques favorables à la santé;2024;En cours;24 mois;143 720,00;Santé Publique France;Santé Publique / Épidémiologie / Maïeutique / Psychologie;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\004_2024_accompagnement_et_soins_personnalises_de_la_naissance_en_filiere_physiologique_versus_conventionnelle_en_france_effet_su.txt
rejected;Accouchements moins médicalisés : attentes des usagères et pratiques dans les maternités au niveau national;https://iresp.net/projets_finances/accouchements-moins-medicalises-attentes-des-usageres-et-pratiques-dans-les-maternites-au-niveau-national/;Services, interventions et politiques favorables à la santé;Général - volet Recherche sur les services de santé;2017;Clos;36 mois;99 464,00 €;DGS;Epidémiologie;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\005_2017_accouchements_moins_medicalises_attentes_des_usageres_et_pratiques_dans_les_maternites_au_niveau_national.txt
rejected;Analyse Cartographique et Socio-Economique du non-accès aux Soins en Santé mentale (ACSESS);https://iresp.net/projets_finances/acsess-analyse-cartographique-et-socio-economique-du-non-acces-aux-soins-en-sante-mentale/;Services, interventions et politiques favorables à la santé;Général -Volet Recherche sur les services de santé;2017;Clos;12 mois;49773;CNAMTS;"Géographie de la santé ; Psychiatrie";C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\006_2017_analyse_cartographique_et_socio_economique_du_non_acces_aux_soins_en_sante_mentale_acsess.txt
