rank;file_name;relative_path;absolute_path;word_count;score_raw;score_normalized
1;Fiche-action_10_-_Reseau_dinformations.txt;Database\Fiches_actions_database\Fiche-action_10_-_Reseau_dinformations.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\Fiches_actions_database\Fiche-action_10_-_Reseau_dinformations.txt;191;0;0.00000000
2;Calendrier des séances du Conseil de l'âge.txt;Database\Hcfea_database\Calendrier des séances du Conseil de l'âge.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\Hcfea_database\Calendrier des séances du Conseil de l'âge.txt;495;0;0.00000000
3;Avis sur une définition partagée de la maltraitanc.txt;Database\Hcfea_database\Avis sur une définition partagée de la maltraitanc.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\Hcfea_database\Avis sur une définition partagée de la maltraitanc.txt;601;0;0.00000000
4;FICHE_Arlon_4.txt;Database\Fiches_actions_database\FICHE_Arlon_4.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\Fiches_actions_database\FICHE_Arlon_4.txt;601;0;0.00000000
5;Pour un redressement durable de la sécurité social.txt;Database\Hcfea_database\Pour un redressement durable de la sécurité social.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\Hcfea_database\Pour un redressement durable de la sécurité social.txt;1398;0;0.00000000
6;Annuaire des fondations abritées.txt;Database\FdF_database\Annuaire des fondations abritées.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\FdF_database\Annuaire des fondations abritées.txt;1419;0;0.00000000
7;Faire avancer un monde en transition.txt;Database\FdF_database\Faire avancer un monde en transition.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\FdF_database\Faire avancer un monde en transition.txt;1434;0;0.00000000
8;Nous contacter.txt;Database\FdF_database\Nous contacter.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\FdF_database\Nous contacter.txt;1474;0;0.00000000
9;Nos temps forts.txt;Database\FdF_database\Nos temps forts.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\FdF_database\Nos temps forts.txt;1496;0;0.00000000
10;La fondation de toutes les causes.txt;Database\FdF_database\La fondation de toutes les causes.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\FdF_database\La fondation de toutes les causes.txt;1500;0;0.00000000
