rank;file_name;relative_path;absolute_path;word_count;score_raw;score_normalized
1;Fiche-action_11_-_Implication.txt;Database\Fiches_actions_database\Fiche-action_11_-_Implication.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\Fiches_actions_database\Fiche-action_11_-_Implication.txt;183;33;0.18032787
2;Propositions pour un plan de lutte contre lâgisme.txt;Database\Hcfea_database\Propositions pour un plan de lutte contre lâgisme.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\Hcfea_database\Propositions pour un plan de lutte contre lâgisme.txt;1268;206;0.16246057
3;Éléments de guidance pour un lexique renouvelé de .txt;Database\Hcfea_database\Éléments de guidance pour un lexique renouvelé de .txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\Hcfea_database\Éléments de guidance pour un lexique renouvelé de .txt;967;156;0.16132368
4;Fiche-action_13_-_Preparation_a_la_retraite.txt;Database\Fiches_actions_database\Fiche-action_13_-_Preparation_a_la_retraite.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\Fiches_actions_database\Fiche-action_13_-_Preparation_a_la_retraite.txt;263;40;0.15209125
5;Vieillissement de la population, personnes âgées _.txt;Database\Hcfea_database\Vieillissement de la population, personnes âgées _.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\Hcfea_database\Vieillissement de la population, personnes âgées _.txt;1211;183;0.15111478
6;Fiche-action_12_-_Informations.txt;Database\Fiches_actions_database\Fiche-action_12_-_Informations.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\Fiches_actions_database\Fiche-action_12_-_Informations.txt;213;32;0.15023474
7;La participation et la contribution économique, so.txt;Database\Hcfea_database\La participation et la contribution économique, so.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\Hcfea_database\La participation et la contribution économique, so.txt;1504;212;0.14095745
8;30_Aller_vers_DIGITAL_SENIORS_28.txt;Database\Cnav_database\30_Aller_vers_DIGITAL_SENIORS_28.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\Cnav_database\30_Aller_vers_DIGITAL_SENIORS_28.txt;511;72;0.14090020
9;05_BIEN_CHEZ_SOI_DES_EQUIPEMENTS_POUR_SIMPLIFIER_S.txt;Database\Cnav_database\05_BIEN_CHEZ_SOI_DES_EQUIPEMENTS_POUR_SIMPLIFIER_S.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\Cnav_database\05_BIEN_CHEZ_SOI_DES_EQUIPEMENTS_POUR_SIMPLIFIER_S.txt;227;31;0.13656388
10;34_ATELIER_BIENVENUE_A_LA_RETRAITE_ADAPTE_AU_PUBLI.txt;Database\Cnav_database\34_ATELIER_BIENVENUE_A_LA_RETRAITE_ADAPTE_AU_PUBLI.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\Cnav_database\34_ATELIER_BIENVENUE_A_LA_RETRAITE_ADAPTE_AU_PUBLI.txt;248;32;0.12903226
