id,title,categories,commune,listing_url,pdf_url,pdf_file,txt_file,page_count,char_count,word_count
1,Les seniors de la Commune et les enfants inscrits au restaurant scolaire.,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2026/04/PE-Les-seniors-de-la-Commune-et-les-enfants-inscrits-au-restaurant-scolaire.pdf,Les_seniors_de_la_Commune_et_les_enfants_inscrits_au_restaurant_scolaire.pdf,Les_seniors_de_la_Commune_et_les_enfants_inscrits_au_restaurant_scolaire.txt,2,4678,783
2,Mobilisation de l’expertise d’usage des seniors sur Nantes Métropole,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2026/04/PE-Mobilisation-de-lexpertise-dusage-des-seniors-sur-Nantes-Metropole-1.pdf,Mobilisation_de_lexpertise_dusage_des_seniors_sur_Nantes_Metropole.pdf,Mobilisation_de_lexpertise_dusage_des_seniors_sur_Nantes_Metropole.txt,2,4509,678
3,Le Conseil des Aînés,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2026/04/PE-Le-Conseil-des-Aines-1.pdf,Le_Conseil_des_Aines.pdf,Le_Conseil_des_Aines.txt,2,4045,662
4,MAISON DES SAGES,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2026/04/PE-MAISON-DES-SAGES-1.pdf,MAISON_DES_SAGES.pdf,MAISON_DES_SAGES.txt,2,4223,660
5,LE TRIPORTEUR DES SAGES,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2026/04/PE-LE-TRIPORTEUR-DES-SAGES-1.pdf,LE_TRIPORTEUR_DES_SAGES.pdf,LE_TRIPORTEUR_DES_SAGES.txt,2,4304,657
6,CONCOURS LOGO DES SAGES,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2026/04/PE-CONCOURS-LOGO-DES-SAGES-1.pdf,CONCOURS_LOGO_DES_SAGES.pdf,CONCOURS_LOGO_DES_SAGES.txt,2,3831,604
7,MEMOIRE DES SAGES,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2026/04/PE-MEMOIRE-DES-SAGES-1.pdf,MEMOIRE_DES_SAGES.pdf,MEMOIRE_DES_SAGES.txt,2,4551,728
8,Aménagement du parcours de santé adapté « physio-parc » en accès libre à l’étang des Forges de Belfort,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2026/02/PE-Amenagement-du-parcours-de-sante-adapte-physio-parc-en-acces-libre-a-letang-des-Forges-de-Belfort-90000-1.pdf,Amenagement_du_parcours_de_sante_adapte_physio-parc_en_acces_libre_a_letang_des_Forges_de_Belfort.pdf,Amenagement_du_parcours_de_sante_adapte_physio-parc_en_acces_libre_a_letang_des_Forges_de_Belfort.txt,2,4698,728
9,"Fleuribus, le minibus intra urbain",,,https://www.villesamiesdesaines-rf.fr/nos-fiches/,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2026/02/PE-Fleuribus-le-minibus-intra-urbain-1.pdf,Fleuribus_le_minibus_intra_urbain.pdf,Fleuribus_le_minibus_intra_urbain.txt,2,3348,555
10,Fête de noël,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2026/02/PE-Fete-de-noel-2.pdf,Fete_de_noel.pdf,Fete_de_noel.txt,2,4533,712
11,La navette sociale,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2026/02/PE-La-navette-sociale-1.pdf,La_navette_sociale.pdf,La_navette_sociale.txt,2,3306,534
12,SEMAINE BLEUE,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2026/02/PE-SEMAINE-BLEUE-1.pdf,SEMAINE_BLEUE.pdf,SEMAINE_BLEUE.txt,2,4502,682
13,ATELIER CUSTOMISATION,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=2,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2026/02/PE-ATELIER-CUSTOMISATION-2.pdf,ATELIER_CUSTOMISATION.pdf,ATELIER_CUSTOMISATION.txt,2,3851,600
