id,title,categories,commune,listing_url,pdf_url,pdf_file,txt_file,page_count,char_count,word_count
1,La carte senior de Lyon,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=21,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/336-pe-carte-senior-lyon-mise-en-forme-2023.pdf,La_carte_senior_de_Lyon.pdf,La_carte_senior_de_Lyon.txt,2,4324,665
2,Le tour du marché,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=21,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/339-339-tour-du-marche-dijon.pdf,Le_tour_du_marche.pdf,Le_tour_du_marche.txt,2,4242,666
3,A la rencontre des âges,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=21,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/279-279-dijon-autonomie.pdf,A_la_rencontre_des_ages.pdf,A_la_rencontre_des_ages.txt,2,4788,772
4,Un projet intergénérationnel à vivre ensemble : la colo,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=21,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/282-282-lons-le-saunier-lien-social.pdf,Un_projet_intergenerationnel_a_vivre_ensemble_la_colo.pdf,Un_projet_intergenerationnel_a_vivre_ensemble_la_colo.txt,1,3384,541
5,L’adaptation intergénérationnelle du spectacle «rétro ma non troppo»,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=21,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/281-281-amberieu-culture-et-loisirs.pdf,Ladaptation_intergenerationnelle_du_spectacle_retro_ma_non_troppo.pdf,Ladaptation_intergenerationnelle_du_spectacle_retro_ma_non_troppo.txt,1,3295,520
6,La mode a ses effets,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=21,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/284-pe-la-mode-a-ses-effets.pdf,La_mode_a_ses_effets.pdf,La_mode_a_ses_effets.txt,2,4850,773
7,Sur les pas de nos aînés,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=21,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/283-pe-sur-les-pas-de-nos-aines.pdf,Sur_les_pas_de_nos_aines.pdf,Sur_les_pas_de_nos_aines.txt,2,3787,600
8,Lien social et solidarité,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=21,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/286-copie-de-pe-fiche-vierge.pdf,Lien_social_et_solidarite.pdf,Lien_social_et_solidarite.txt,2,3959,623
9,Les pôles ressources seniors,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=21,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/288-288-nancy-lien-social-pe.pdf,Les_poles_ressources_seniors.pdf,Les_poles_ressources_seniors.txt,2,8255,1294
10,Animation estivale : cap sur un été animé pour tous !,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=21,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/289-289-metz-culture-et-loisirs-pe.pdf,Animation_estivale_cap_sur_un_ete_anime_pour_tous.pdf,Animation_estivale_cap_sur_un_ete_anime_pour_tous.txt,1,3730,603
11,Lutter contre l’isolement social des personnes âgées et personnes handicapées durant l’été,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=21,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/292-pe-lutter-contre-l-isolement.pdf,Lutter_contre_lisolement_social_des_personnes_agees_et_personnes_handicapees_durant_lete.pdf,Lutter_contre_lisolement_social_des_personnes_agees_et_personnes_handicapees_durant_lete.txt,2,2800,432
12,Déjeuner au lycée professionnel de l’Atlantique,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=21,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/291-291-dejeuner-au-lycee-professionnel-de-l-atlantique.pdf,Dejeuner_au_lycee_professionnel_de_lAtlantique.pdf,Dejeuner_au_lycee_professionnel_de_lAtlantique.txt,2,5569,855
13,Le conseil des aînés de Limonest,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=22,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/295-295-conseil-des-aines-limonest.pdf,Le_conseil_des_aines_de_Limonest.pdf,Le_conseil_des_aines_de_Limonest.txt,2,4944,837
14,La vie grande ouverte : l’espace Emmanuel Mounier,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=22,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/293-pe-habitat-et-humanisme-mise-en-forme-2023.pdf,La_vie_grande_ouverte_lespace_Emmanuel_Mounier.pdf,La_vie_grande_ouverte_lespace_Emmanuel_Mounier.txt,3,7183,1120
15,Débats citoyens intergénérationnels en logements-foyers,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=22,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/299-299-besancon-participation-citoyenne-pe.pdf,Debats_citoyens_intergenerationnels_en_logements-foyers.pdf,Debats_citoyens_intergenerationnels_en_logements-foyers.txt,1,2799,442
16,Virage numérique au service anim’à Dom’,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=22,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/301-anim-a-dom.pdf,Virage_numerique_au_service_anima_Dom.pdf,Virage_numerique_au_service_anima_Dom.txt,2,5041,769
17,Navette seniors et personnes à mobilité réduite,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=22,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/300-300-nanvette-senior-et-pmr-pe.pdf,Navette_seniors_et_personnes_a_mobilite_reduite.pdf,Navette_seniors_et_personnes_a_mobilite_reduite.txt,2,5940,945
18,Cohabitations intergénérationnelles,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=22,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/303-pe-cohabitations-interge-parisolidaire.pdf,Cohabitations_intergenerationnelles.pdf,Cohabitations_intergenerationnelles.txt,2,3494,536
19,"Chaque mois, « ensemble autour »... d’un moment convivial",,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=22,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/304-304-besancon-lien-social-ensemble-autour-pe.pdf,Chaque_mois_ensemble_autour_dun_moment_convivial.pdf,Chaque_mois_ensemble_autour_dun_moment_convivial.txt,1,3981,641
20,Un accueil de jour autonome,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=22,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/306-306-fiche-pe-accueil-de-jour-bdp.pdf,Un_accueil_de_jour_autonome.pdf,Un_accueil_de_jour_autonome.txt,1,4283,673
21,"Une retraite active, une retraite réussie",,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=22,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/307-pe-une-retraite-active.pdf,Une_retraite_active_une_retraite_reussie.pdf,Une_retraite_active_une_retraite_reussie.txt,2,4926,781
22,Sortie au musée des confluences,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=22,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/309-pe-sortie-au-musee-confluences.pdf,Sortie_au_musee_des_confluences.pdf,Sortie_au_musee_des_confluences.txt,1,2879,457
