thematique_normalisee;occurrences
autonomie et avancée en âge;1043
santé et prévention;638
lien social et lutte contre l'isolement;461
culture et loisirs;294
aidants, handicap et vulnérabilités;262
intergénérationnel;168
habitat et logement;167
mobilité et accessibilité;106
participation citoyenne et gouvernance;72
activité physique et sport;48
numérique et accès à l'information;41
services et accompagnement;30
politiques publiques et recherche;7
espaces publics et aménagement;6
autre / à revoir;1
environnement et développement durable;1
