id,title,pages,txt_file,char_count,word_count
1,CARTE INTERACTIVE « TROUVER MON ACTIVITÉ »,9,01_CARTE_INTERACTIVE_TROUVER_MON_ACTIVITE.txt,1448,209
2,Partenariat VIV A LAB,10,02_Partenariat_VIV_A_LAB.txt,2662,399
3,CARSAT HAUTS-DE-FRANCE,11-12,03_CARSAT_HAUTS-DE-FRANCE.txt,5019,809
4,L ’INTERGÉNÉRATIONNEL – BERCEAU DU LIEN SOCIAL,13-14-15-16-17,04_L_INTERGENERATIONNEL_BERCEAU_DU_LIEN_SOCIAL.txt,7342,1128
5,BIEN CHEZ SOI – DES ÉQUIPEMENTS POUR SIMPLIFIER SON QUOTIDIEN,18,05_BIEN_CHEZ_SOI_DES_EQUIPEMENTS_POUR_SIMPLIFIER_SON_QUOTIDIEN.txt,1436,193
6,CARSAT RHÔNE-ALPES,19-20-21,06_CARSAT_RHONE-ALPES.txt,6688,996
7,ADAPTATION DES LOGEMENTS DU PARC SOCIAL D’HABITAT DE L ’ILL,22,07_ADAPTATION_DES_LOGEMENTS_DU_PARC_SOCIAL_DHABITAT_DE_L_ILL.txt,1992,317
8,PARTENARIAL DES DOSSIERS « LIEUX DE VIE COLLECTIFS » (LVC),23,08_PARTENARIAL_DES_DOSSIERS_LIEUX_DE_VIE_COLLECTIFS_LVC.txt,1802,272
9,CARSAT HAUTS-DE-FRANCE,24-25,09_CARSAT_HAUTS-DE-FRANCE.txt,4075,604
10,Habitat SILVER HABITAT,26-27-28,10_Habitat_SILVER_HABITAT.txt,2875,438
11,LE PROGRAMME ACTIV’ ET VOUS,29,11_LE_PROGRAMME_ACTIV_ET_VOUS.txt,2509,400
12,INFORMATIONS ET CONSEILS EN PRÉVENTION,30-31-32,12_INFORMATIONS_ET_CONSEILS_EN_PREVENTION.txt,6961,1080
13,LE SITE INTERNET ICOPE,33,13_LE_SITE_INTERNET_ICOPE.txt,2126,329
14,CARSAT SUD-EST,34-35,14_CARSAT_SUD-EST.txt,3496,526
15,GYM ENFORM' ET FITNESS,36,15_GYM_ENFORM_ET_FITNESS.txt,1725,283
16,EXPÉRIMENTATION AUPRÈS D’UN PUBLIC DE FUTUR RETRAITÉ,37,16_EXPERIMENTATION_AUPRES_DUN_PUBLIC_DE_FUTUR_RETRAITE.txt,3199,500
17,PARTENARIAT CENTRES DE MÉDECINE PRÉVENTIVE,38,17_PARTENARIAT_CENTRES_DE_MEDECINE_PREVENTIVE.txt,2710,433
18,ATELIER « HABITAT : LES CLEFS DE MA SANTÉ »,39,18_ATELIER_HABITAT_LES_CLEFS_DE_MA_SANTE.txt,1541,245
19,ATELIER MNÉMOTRICITÉ,40,19_ATELIER_MNEMOTRICITE.txt,3042,454
